timestamp,station_id,traffic_gb,power_kw,hour,weekday
2024-01-01 00:00:00,Station_0,19.45,3.459,0,0
2024-01-01 01:00:00,Station_0,22.33,3.863,1,0
2024-01-01 02:00:00,Station_0,10.9,3.226,2,0
2024-01-01 03:00:00,Station_0,40.96,4.177,3,0
2024-01-01 04:00:00,Station_0,13.96,3.457,4,0
2024-01-01 05:00:00,Station_0,18.39,3.367,5,0
2024-01-01 06:00:00,Station_0,103.63,5.208,6,0
2024-01-01 07:00:00,Station_0,89.66,5.129,7,0
2024-01-01 08:00:00,Station_0,114.81,5.933,8,0
2024-01-01 09:00:00,Station_0,128.81,5.938,9,0
2024-01-01 10:00:00,Station_0,173.95,7.304,10,0
2024-01-01 11:00:00,Station_0,158.97,6.689,11,0
2024-01-01 12:00:00,Station_0,151.83,6.818,12,0
2024-01-01 13:00:00,Station_0,140.69,6.592,13,0
2024-01-01 14:00:00,Station_0,142.95,6.515,14,0
2024-01-01 15:00:00,Station_0,133.4,6.705,15,0
2024-01-01 16:00:00,Station_0,129.8,6.033,16,0
2024-01-01 17:00:00,Station_0,127.87,5.953,17,0
2024-01-01 18:00:00,Station_0,103.13,5.186,18,0
2024-01-01 19:00:00,Station_0,64.55,4.653,19,0
2024-01-01 20:00:00,Station_0,81.08,5.061,20,0
2024-01-01 21:00:00,Station_0,55.84,4.336,21,0
2024-01-01 22:00:00,Station_0,25.86,3.503,22,0
2024-01-01 23:00:00,Station_0,35.13,4.09,23,0
2024-01-02 00:00:00,Station_0,17.15,3.076,0,1
2024-01-02 01:00:00,Station_0,17.47,3.36,1,1
2024-01-02 02:00:00,Station_0,4.26,3.229,2,1
2024-01-02 03:00:00,Station_0,32.74,4.005,3,1
2024-01-02 04:00:00,Station_0,8.41,3.148,4,1
2024-01-02 05:00:00,Station_0,30.31,3.953,5,1
2024-01-02 06:00:00,Station_0,92.81,5.283,6,1
2024-01-02 07:00:00,Station_0,98.93,5.234,7,1
2024-01-02 08:00:00,Station_0,142.19,6.826,8,1
2024-01-02 09:00:00,Station_0,141.35,6.734,9,1
2024-01-02 10:00:00,Station_0,157.39,6.806,10,1
2024-01-02 11:00:00,Station_0,163.38,7.392,11,1
2024-01-02 12:00:00,Station_0,159.46,7.299,12,1
2024-01-02 13:00:00,Station_0,118.66,6.131,13,1
2024-01-02 14:00:00,Station_0,153.27,6.772,14,1
2024-01-02 15:00:00,Station_0,143.8,6.198,15,1
2024-01-02 16:00:00,Station_0,126.7,6.239,16,1
2024-01-02 17:00:00,Station_0,137.7,6.339,17,1
2024-01-02 18:00:00,Station_0,87.87,5.096,18,1
2024-01-02 19:00:00,Station_0,98.2,5.521,19,1
2024-01-02 20:00:00,Station_0,62.05,4.654,20,1
2024-01-02 21:00:00,Station_0,59.03,4.669,21,1
2024-01-02 22:00:00,Station_0,37.51,3.872,22,1
2024-01-02 23:00:00,Station_0,36.16,3.611,23,1
2024-01-03 00:00:00,Station_0,16.44,3.463,0,2
2024-01-03 01:00:00,Station_0,12.69,3.27,1,2
2024-01-03 02:00:00,Station_0,0.0,2.916,2,2
2024-01-03 03:00:00,Station_0,12.13,3.143,3,2
2024-01-03 04:00:00,Station_0,18.58,3.545,4,2
2024-01-03 05:00:00,Station_0,53.63,4.376,5,2
2024-01-03 06:00:00,Station_0,103.86,5.582,6,2
2024-01-03 07:00:00,Station_0,86.75,5.163,7,2
2024-01-03 08:00:00,Station_0,130.9,6.765,8,2
2024-01-03 09:00:00,Station_0,139.54,6.549,9,2
2024-01-03 10:00:00,Station_0,151.44,6.552,10,2
2024-01-03 11:00:00,Station_0,175.1,7.528,11,2
2024-01-03 12:00:00,Station_0,171.87,7.115,12,2
2024-01-03 13:00:00,Station_0,179.0,7.195,13,2
2024-01-03 14:00:00,Station_0,160.76,7.457,14,2
2024-01-03 15:00:00,Station_0,127.57,6.076,15,2
2024-01-03 16:00:00,Station_0,131.49,6.187,16,2
2024-01-03 17:00:00,Station_0,92.27,5.32,17,2
2024-01-03 18:00:00,Station_0,84.07,5.196,18,2
2024-01-03 19:00:00,Station_0,70.68,5.077,19,2
2024-01-03 20:00:00,Station_0,58.25,4.392,20,2
2024-01-03 21:00:00,Station_0,69.78,4.498,21,2
2024-01-03 22:00:00,Station_0,51.45,4.548,22,2
2024-01-03 23:00:00,Station_0,17.93,3.485,23,2
2024-01-04 00:00:00,Station_0,15.9,3.554,0,3
2024-01-04 01:00:00,Station_0,0.0,2.736,1,3
2024-01-04 02:00:00,Station_0,22.24,3.615,2,3
2024-01-04 03:00:00,Station_0,21.03,3.595,3,3
