node,cluster,type,peak_hour,weekend_ratio,volatility,energy_00_06,energy_06_12,energy_12_18,energy_18_24
8001,4,12-18高峰型 / 商业主导,12-18,0.886763352327624,0.144689718776671,20835.337569240794,30963.320625610948,37234.635267275095,34183.271037182
8002,1,12-18高峰型 / 商业主导,12-18,0.8510828723373972,0.15649242155560328,30814.954723127037,47736.61140065147,57751.4018904824,49815.86990544506
8003,1,12-18高峰型 / 商业主导,12-18,0.89798481991279,0.12314986643347779,31685.157774886142,44119.42369020501,51471.586779550635,47112.18528166721
8004,3,12-18高峰型 / 工业主导,12-18,0.7669637305270106,0.12803994731540894,39348.52166829586,53581.75268817204,57178.232073011735,51856.35909980431
8005,1,12-18高峰型 / 商业主导,12-18,0.845193694881423,0.21792266431584612,31147.561863173218,43934.491693383854,50105.66802681434,46230.05508598076
8006,6,12-18高峰型 / 商业主导,12-18,0.7542764963991088,0.062407110128937966,14613.749511241447,24190.62438905181,28335.25177218284,24759.53326810176
8007,6,12-18高峰型 / 商业主导,12-18,0.7770684770039199,0.3104069462665763,16918.780791788857,29439.45356793744,35922.89464678563,29315.175880626222
8008,6,12-18高峰型 / 商业主导,12-18,0.7524333043909067,0.09465521069403343,7474.714809384164,13144.250488758553,16152.593009044243,13007.768101761252
8009,4,12-18高峰型 / 商业主导,12-18,0.7733219444595221,0.01779546717599533,11036.480612577387,18128.24926686217,21454.26694915254,18495.08936725375
8010,4,12-18高峰型 / 商业主导,12-18,0.8014538573059894,0.11918449377297569,8523.025048796357,13992.178978197202,16773.088896125042,14182.191468577012
8011,6,12-18高峰型 / 商业主导,12-18,0.8515607653491633,0.47068661901704484,17168.58355595132,27110.326009501186,32807.777612826605,30277.791270783848
8012,5,12-18高峰型,12-18,0.869994712583398,0.053552905474534604,13289.028961926457,20245.37813211845,24972.181758957653,24331.49576547231
8013,5,12-18高峰型,12-18,0.8615288320136838,0.10510629349445942,25580.313503305006,39566.28674850488,47658.31759521561,44763.22078740157
8014,1,12-18高峰型 / 商业主导,12-18,0.8587096110524726,0.06062737277058378,29305.591432225065,44921.43574168798,51671.75111964172,49032.2128
8015,1,12-18高峰型 / 商业主导,12-18,0.8545652953890589,0.06177370105409183,26503.9234421365,42848.59750667854,50131.90792990793,46586.01782001782
8016,5,12-18高峰型,12-18,0.9011318815817886,0.03700888739909052,16494.54480286738,25226.91723688498,32405.004237288136,31007.81506849315
8017,4,12-18高峰型 / 商业主导,12-18,0.7823615611945177,0.19695075406854248,19627.354804646253,31104.84398099261,35671.12674940586,31543.465644820295
8018,6,12-18高峰型 / 商业主导,12-18,0.7863970813721192,0.06687806955521983,26982.1903714565,39970.050830889544,44391.50305548766,38411.77421722114
8019,5,12-18高峰型,12-18,0.8167422627354443,0.06690222350439083,19211.43075920495,30436.24209840339,36081.33637548892,32656.022504892368
8020,1,12-18高峰型 / 商业主导,12-18,0.8732126851036975,0.028275608965531374,31835.515102827765,39827.143958868895,46154.45852090032,44713.807976841425
8021,5,12-18高峰型,12-18,0.7542285964226965,0.07894573438072316,15796.818670576735,25718.5784457478,30552.312637496943,26181.899217221136
8022,5,12-18高峰型,12-18,0.8157324637317089,0.09487656077674972,16214.195829260345,25813.579667644182,30318.17894393742,27649.076973255054
8023,5,12-18高峰型,12-18,0.890243872493296,0.006991548704082917,15024.033235581623,23017.286412512218,26492.86962190352,25928.665362035226
8024,5,12-18高峰型,12-18,0.909437061609566,0.04832745933586609,18160.42038423966,26740.477028347996,32371.821440208536,32564.36102965135
8025,1,12-18高峰型 / 商业主导,12-18,0.8775136895263612,0.18128609330813816,30856.338494231935,43926.46842744384,51258.34547662416,47760.243169398906
8026,0,18-24高峰型 / 住宅主导,18-24,0.9129985762134142,0.26378165145049737,13891.683713355049,19768.925732899024,24503.079530638854,24947.53211607434
8027,5,12-18高峰型,12-18,0.8768140800919383,0.06724772573019232,18888.899967416095,29605.21016617791,35717.238917861796,35184.32583170255
8028,2,12-18高峰型 / 商业主导,12-18,0.8247594124061463,0.21095576504270946,47011.168757467145,71473.48476702509,84323.92344497607,75118.79186602871
8029,1,12-18高峰型 / 商业主导,12-18,0.787612024038051,0.10070417578295314,21686.685728250246,35656.578201368524,42895.23221706184,37739.2081702544
8030,2,12-18高峰型 / 商业主导,12-18,0.8229851926315642,0.05209448274571112,43717.59530791789,72431.29553600521,82583.2183833116,76288.03261578604
8031,0,18-24高峰型 / 住宅主导,18-24,0.9320119342644297,0.01287798296781195,10818.622352557837,15739.261322906485,19678.148305084746,20082.813111545987
8032,0,18-24高峰型 / 住宅主导,18-24,0.9405505110270312,0.011871709947464757,12511.505702183122,17998.745193874227,22489.254889178617,23522.219504240053
8033,0,18-24高峰型 / 住宅主导,18-24,0.9269195567259396,0.008454498455310232,6593.669599217987,8694.898664059954,10614.890482398958,10862.610893672538
8034,1,12-18高峰型 / 商业主导,12-18,0.7979946791263469,0.04631198731459275,30672.67775723968,44188.58556891767,49638.4486586494,43855.981806968855
8035,4,12-18高峰型 / 商业主导,12-18,0.877688746916116,0.05188590782147783,22070.174649723038,31968.3137829912,35830.72881355932,33439.32941943901
8036,4,12-18高峰型 / 商业主导,12-18,0.7819895018872164,0.0402083012446453,18682.656698915274,29268.162708883025,34730.6933450601,28946.4412195837
8037,4,12-18高峰型 / 商业主导,12-18,0.7620533790273907,0.19849557374289184,8184.096122515477,13683.50211795373,15886.582464146024,13603.229615133725
8038,3,12-18高峰型 / 工业主导,12-18,0.783996010711591,0.06613043936190727,44897.164548712935,55643.82502443793,60184.13722294654,54407.215590345724
8039,3,12-18高峰型 / 工业主导,12-18,0.889502069569856,0.1107624530990407,42535.592701205605,47394.65917236885,49011.259778357235,45347.44227005871
8040,2,12-18高峰型 / 商业主导,12-18,0.7510161895051449,0.051899745202966655,73836.83479960899,86495.89214727924,86654.06714471968,79163.71722113503
8041,0,18-24高峰型 / 住宅主导,18-24,0.9122296012850786,0.12119821241215918,12539.841968067774,18133.49136526556,22002.57627118644,22269.41878669276
8042,5,12-18高峰型,12-18,0.9222706880501094,0.009627562624565662,14335.48908439231,22159.140762463343,26499.535853976533,26432.285714285714
